lat,lon,detloc,name,city,state
32.261565,-101.498192,BSNTRTX,BSCC INTERSTATE UNIT,BIG SPRING,TX
40.264072,-83.363439,FIVECOH,FIVE COUNTY JOINT,MARYSVILLE,OH
40.657137,-73.765714,QUEICDF,"INS/WACKENHUT CON/FAC, NY",JAMAICA,NY
25.75506,-80.437893,KROHOLD,KROME HOLD ROOM,MIAMI,FL
33.869541,-117.808245,STMARCA,ST MARY MEDICAL CENTER,APPLE VALLEY,CA
34.009941,-81.039405,COAHOLD,"COLUMBIA, SC HOLDROOM",COLUMBIA,SC
42.326912,-87.856023,NOCPDIL,NORTH CHICAGO POLICE DEPARTMENT,NORTH CHICAGO,IL
25.784623,-80.225672,HVHOSFL,WINDMOOR HOSPITAL (HARBORVIEW),MIAMI,FL
37.307301,-121.865129,SNJHOLD,SNJ HOLD ROOM,SAN JOSE,CA
40.97169,-82.109184,WALDOME,WALDO COUNTY JAIL,BELFAST,ME
