duns,cleanName,vendorName,origName,url
31689583,Red Carrot,Red Carrot Inc,RED CARROT INC,
614386019,U.S. Business Interiors,"U.S. Business Interiors, Inc.",U S BUSINESS INTERIORS INCORPORATED,
4048013,VF Imagewear,"Vf Imagewear, Inc.","VF IMAGEWEAR, INC.",
78650478,Chenega Facilities Management,"Chenega Facilities Management, LLC","CHENEGA FACILITIES MANAGEMENT, LLC",
610703282,Federal Express Corporation,Federal Express Corporation,FEDERAL EXPRESS CORPORATION,
155953086,United Parcel Service Co.,United Parcel Service Co.,UNITED PARCEL SERVICE CO.,
10891187,Complete Book & Media Supply,"Complete Book & Media Supply, LLC",COMPLETE BOOK & MEDIA SUPPLY I,
861004349,Aardvark,Aardvark,AARDVARK,
78770392,Sig Sauer,,"SIG SAUER, INC",
1519248,John Wiley & Sons,"John Wiley & Sons, Inc.",JOHN WILEY AND SONS INCORPORATED,
790993252,KCorp Support Services,"Kcorp Support Services, Inc.","KCORP SUPPORT SERVICES, INC.",
1121912,Hardigg Industries,"Hardigg Industries, Inc.","HARDIGG INDUSTRIES, INC.",http://www.Pelican.com 
194331401,Nova Solutions,"Nova Solutions, Inc.","NOVA SOLUTIONS, INC.",
965961860,Coronado Distribution Company,"Coronado Distribution Company, Inc.","CORONADO DISTRIBUTION COMPANY, INC.",
5957329,Security Engineered Machinery Co.,"Security Engineered Machinery Co., Inc.",SECURITY ENGINEERED MCHY COMPANY,
557049830,Perfect Fit,Perfect Fit,FOSTER & LEVESQUE LLC,
124623039,Sampson Partners,SAMPSON PARTNERS LLC,SAMPSON PARTNERS LLC,
182004838,Black Gold Industries,Black Gold Industries,BLACK GOLD INDUSTRIES,
791990146,"Hergo, Ergonomic Support Systems","Hergo, Ergonomic Support Systems, Inc.","HERGO, ERGONOMIC SUPPORT SYSTEMS, INC.",
1910777,Johns Hopkins University,Johns Hopkins University,"JOHNS HOPKINS UNIVERSITY, THE",
618932227,Axiscore,"Axiscore, LLC",AXISCORE LIMITED LIABILITY COMPANY,
14387489,Serco Services,"Serco Services, Inc.",SERCO SERVICES INC.,
1453216,Remington Arms Company,"Remington Arms Company, LLC","REMINGTON ARMS COMPANY, LLC",
72632482,International Association of Chiefs of Police,"International Association of Chiefs of Police, Incorporated",INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,
7821085,Freeman Expositions,"Freeman Expositions, Inc. ","FREEMAN EXPOSITIONS, INC.",
